year,county code,county,harvested acres,yield,production,price p/u,value,annual_precip,annual_tavg,annual_tmin,annual_tmax,annual_var,season_precip,season_tavg,season_tmin,season_tmax,season_var
2012,19,Fresno,86700 ,10.38 ,900000 ,385.48 ,346934000,16.34,56.71666666666667,31.5,90.8,68.50000000000001,3.049999999999999,66.51666666666667,39.8,90.8,20.000000000000007
2012,39,Madera,51100 ,10.84 ,554000 ,374.78 ,207626000,20.75,57.30833333333334,31.5,92.5,68.39999999999999,3.04,67.06666666666666,39.9,92.5,20.3
2012,53,Monterey,45100 ,3.81 ,172000 ,1247.49 ,214568000,19.94,58.79166666666666,35.7,87.9,46.3,2.9199999999999995,64.8,42.6,87.9,14.799999999999985
2012,55,Napa,43200 ,4.24 ,183000 ,3585.99 ,656236000,39.43,59.45000000000001,35.9,90.3,51.6,2.99,66.85000000000001,44.4,90.3,13.400000000000006
2012,67,Sacramento,32400 ,8.09 ,262000 ,570.74 ,149534000,22.58,62.44166666666667,36.5,95.8,59.80000000000001,3.04,71.28333333333335,47.5,95.8,13.700000000000015
2012,77,San Joaquin,109000 ,8.18 ,892000 ,605.72 ,540303000,15.68,62.19166666666666,36.3,94.5,58.1,2.4299999999999997,70.73333333333333,48.3,94.5,13.200000000000005
2012,79,San Luis Obispo,36600 ,4.10 ,150000 ,1319.60 ,197940000,13.9,60.225,35.5,91.9,52.80000000000001,2.76,67.28333333333332,43.7,91.9,16.10000000000001
2012,83,Santa Barbara,20500 ,3.26 ,66800 ,1363.88 ,91107000,12.51,58.958333333333336,39.0,84.5,44.3,2.84,64.2,43.3,84.5,13.299999999999995
2012,97,Sonoma,58300 ,4.58 ,267000 ,2183.30 ,582942000,51.03,56.85833333333334,37.4,80.9,39.900000000000006,3.1899999999999995,61.96666666666667,43.6,80.9,9.799999999999995
2012,113,Yolo,12200 ,7.84 ,95700 ,692.72 ,66293000,25.72,62.19166666666667,35.8,96.4,59.49999999999999,2.369999999999999,71.05,47.3,96.4,13.899999999999975
2013,19,Fresno,54571.0,13.12,716000.0,409.68,293328000,5.289999999999999,56.75,28.1,91.0,72.20000000000002,1.34,66.91666666666667,42.1,91.0,25.40000000000002
2013,39,Madera,40000.0,11.05,442000.0,383.71,169601000,6.640000000000001,57.16666666666668,28.0,92.0,72.39999999999999,1.8400000000000003,67.38333333333334,41.7,92.0,25.099999999999994
2013,53,Monterey,43000.0,4.3,185000.0,1226.93,226982000,4.18,59.14166666666667,33.2,86.9,45.99999999999999,0.43,66.16666666666667,43.3,86.9,11.599999999999994
2013,55,Napa,43600.0,4.01,175000.0,3749.91,656235000,6.72,60.09166666666667,33.6,89.4,53.69999999999999,2.5,68.18333333333334,47.4,89.4,12.499999999999986
2013,67,Sacramento,29000.0,8.41,244000.0,533.26,130115000,6.409999999999999,62.7,33.5,95.0,63.79999999999999,2.04,72.15,50.0,95.0,14.899999999999991
2013,77,San Joaquin,96400.0,8.93,861000.0,576.5,496370000,5.06,62.17499999999999,33.1,94.2,63.6,1.19,71.61666666666666,49.9,94.2,14.700000000000005
2013,79,San Luis Obispo,36300.0,4.55,165000.0,1335.48,220355000,3.12,60.625,34.7,90.1,51.9,0.26,68.26666666666667,44.8,90.1,14.999999999999991
2013,83,Santa Barbara,21000.0,4.16,87400.0,1869.13,163362000,3.94,58.975,36.2,83.0,40.7,0.25,64.91666666666667,44.6,83.0,10.800000000000004
2013,97,Sonoma,59800.0,4.53,271000.0,2232.72,605068000,10.12,57.50000000000001,34.5,78.9,37.99999999999999,3.89,63.29999999999999,45.5,78.9,7.099999999999994
2013,113,Yolo,13000.0,7.77,101000.0,688.05,69493000,5.789999999999999,62.458333333333336,32.9,95.6,63.7,2.06,71.91666666666667,49.9,95.6,15.299999999999995
2014,19,Fresno,58700.0,11.24,660000.0,391.95,258688000,12.44,59.01666666666666,34.4,90.3,61.59999999999999,2.59,67.65,41.7,90.3,20.39999999999999
2014,39,Madera,40300.0,9.73,392000.0,336.81,132031000,13.96,59.30833333333333,33.8,90.9,61.2,2.6500000000000004,67.93333333333334,41.5,90.9,20.999999999999982
2014,53,Monterey,46000.0,4.35,200000.0,1236.79,247357000,19.93,61.65833333333335,39.2,87.7,42.90000000000001,1.64,67.05000000000001,44.0,87.7,11.000000000000014
2014,55,Napa,43600.0,4.04,176000.0,4061.43,714811000,33.28,62.03333333333333,39.0,89.4,47.3,2.56,68.64999999999999,46.0,89.4,12.0
2014,67,Sacramento,30000.0,7.5,225000.0,581.62,130864000,18.89,64.89166666666667,38.4,95.1,53.4,2.52,72.81666666666666,48.6,95.1,13.899999999999991
2014,77,San Joaquin,102000.0,8.0,816000.0,590.0,481440000,14.4,64.45833333333334,37.9,94.0,51.79999999999998,1.5699999999999998,72.03333333333332,48.3,94.0,13.499999999999986
2014,79,San Luis Obispo,37400.0,3.82,143000.0,1425.07,203785000,12.18,62.71666666666668,39.0,88.7,44.5,0.93,68.68333333333332,44.8,88.7,12.200000000000015
2014,83,Santa Barbara,21100.0,4.29,90600.0,1713.64,155256000,13.21,61.8,41.7,84.4,39.69999999999998,0.7000000000000001,66.36666666666666,45.0,84.4,8.799999999999997
2014,97,Sonoma,58300.0,4.39,256000.0,2315.62,592798000,44.19,59.71666666666667,39.8,80.5,34.7,2.8800000000000003,64.13333333333334,45.3,80.5,7.899999999999999
2014,113,Yolo,12600.0,7.37,92800.0,743.1,68960000,21.62,64.70833333333333,38.2,95.9,53.19999999999999,2.3200000000000003,72.76666666666667,48.2,95.9,14.499999999999986
2015,19,Fresno,60200.0,12.79,770000.0,312.55,240662000,12.23,57.625,29.0,87.5,64.7,2.9500000000000006,66.36666666666666,40.1,87.5,19.500000000000007
2015,39,Madera,39000.0,11.44,446000.0,302.0,134694000,14.419999999999998,58.38333333333333,29.8,89.0,64.9,3.55,67.26666666666667,40.1,89.0,19.800000000000004
2015,53,Monterey,44300.0,3.16,140000.0,1328.04,185925000,11.239999999999998,60.8,35.5,88.2,48.3,1.89,66.33333333333333,42.1,88.2,14.500000000000009
2015,55,Napa,43000.0,2.88,124000.0,4410.76,546934000,13.88,61.55833333333334,37.5,89.4,50.400000000000006,2.24,68.23333333333333,44.7,89.4,14.199999999999996
2015,67,Sacramento,31200.0,7.12,222000.0,577.18,128134000,9.56,64.14166666666667,37.7,93.9,58.49999999999999,2.26,72.23333333333333,47.7,93.9,16.0
2015,77,San Joaquin,97900.0,6.23,610000.0,576.15,351453000,7.689999999999999,63.85833333333333,38.0,92.8,57.29999999999999,1.35,71.66666666666666,47.8,92.8,15.299999999999985
